id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
63,鬱,,鬯,29,S,2010.0,,dépression
64,畝,,田,10,S,,,crête (dans le champ)
65,浦,,水,10,S,,,bord de mer
66,運,,辵,12,3,,,fortune
67,雲,,雨,12,2,,,nuage
68,永,,水,5,5,,,L'ère Eikyuu (1113.7.13-1118.4.3)
69,泳,,水,8,3,,,nager
70,英,,艸,8,4,,,Britannique
71,映,,日,9,6,,,réflexion
72,栄,榮,木,9,4,,,prospérité
73,営,營,火,12,5,,,gestion
74,詠,,言,12,S,,,poème
75,影,,彡,15,S,,,image
76,鋭,,金,15,S,,,netteté
77,衛,衞,行,16,5,,,"des gardes initialement postés au grand sanctuaire d'Ise et au sanctuaire d'Atsuta, à Nagoya, pour protéger les fonctionnaires qui s'y trouvaient."
78,易,,日,8,5,,,divination
79,疫,,疒,9,S,,,fléau
80,益,,皿,10,5,,,de plus en plus
81,液,,水,11,5,,,liquide
82,駅,驛,馬,14,3,,,station
83,悦,,心,10,S,,,réjouissance
84,越,,走,12,S,,,"(par exemple, manger"
85,謁,謁,言,15,S,,,public (avec quelqu'un)
86,閲,,門,15,S,,,examen
87,円,圓,囗,4,1,,,"suffixe pour les noms d'épées, d'armures, d'instruments de musique, etc."
88,延,,廴,8,6,,,"En (un des trigrammes du Yi King : terre, sud-ouest)"
89,沿,,水,8,6,,,le long de
90,炎,,火,8,S,,,flamme
91,怨,,心,9,S,2010.0,,rancune
92,宴,,宀,10,S,,,banquet
93,媛,,女,12,S,2010.0,,jeune femme
94,援,,手,12,S,,,l'assistance
95,園,,囗,13,2,,,parc
96,煙,,火,13,S,,,fumée
97,猿,,犬,13,S,1981.0,,boulon en bois coulissant (pour maintenir une porte ou une fenêtre fermée)
98,遠,,辵,13,2,,,éloigné
99,鉛,,金,13,S,,,plomb (le métal)
100,塩,鹽,鹵,13,4,,,le sel (c'est-à-dire le chlorure de sodium)
101,演,,水,14,5,,,performance
102,縁,緣,糸,15,S,,,"bord (d'une rivière, d'un bois, etc.)"
103,艶,艷,色,19,S,2010.0,,glaçage
104,汚,,水,6,S,,,le requin océanique à pointes blanches (Carcharhinus longimanus)
105,王,,玉,4,1,,,roi
106,凹,,凵,5,S,1981.0,,concave
107,央,,大,5,3,,,centre
108,応,應,心,7,5,,,très bien
109,往,,彳,8,5,,,Je (utilisé par un serviteur lorsqu'il s'adresse à son maître)
110,押,,手,8,S,,,l'autorité
111,旺,,日,8,S,2010.0,,Vouloir.
112,欧,歐,欠,8,S,,,L'Europe
113,殴,毆,殳,8,S,,,frapper
114,桜,櫻,木,10,5,,,cerisier
115,翁,,羽,10,S,,,vieil homme
116,奥,奧,大,12,S,,,à l'intérieur
117,横,橫,木,15,3,,,"côté (d'un bâtiment, etc.)"
118,岡,,山,8,S,2010.0,,points de bonus accordés au vainqueur à la fin d'une partie (mahjong)
119,屋,,尸,9,3,,,toit
120,億,,人,15,4,,,cent millions
121,憶,,心,16,S,,,mémoire
122,臆,,肉,17,S,2010.0,,lâcheté
123,虞,,虍,13,S,,,malaise
124,乙,,乙,1,S,,,la partie B (par exemple dans un contrat)
125,俺,,人,10,S,2010.0,,moi
126,卸,,卩,9,S,,,"de nouveaux outils (ou vêtements, etc.)"
127,音,,音,9,1,,,bruit
128,恩,,心,10,5,,,favoriser
129,温,溫,水,12,3,,,fictif
130,穏,穩,禾,16,S,,,doux
131,下,,一,3,1,,,"moitié inférieure (du corps, en particulier les parties intimes)"
132,化,,匕,4,3,,,action de fabriquer quelque chose
133,火,,火,4,1,,,incendie
134,加,,力,5,4,,,augmenter
135,可,,口,5,5,,,acceptable
136,仮,假,人,6,5,,,provisoire
137,何,,人,7,2,,,ce que
138,花,,艸,7,1,,,fleur
139,佳,,人,8,S,,,bon
140,価,價,人,8,5,,,valeur
141,果,,木,8,4,,,fin
142,河,,水,8,5,,,la rivière ....
143,苛,,艸,8,S,2010.0,,irritation
144,科,,禾,9,2,,,section (dans une organisation)
145,架,,木,9,S,,,monture
146,夏,,夊,10,2,,,été
147,家,,宀,10,2,,,"-ist (utilisé après un nom indiquant la profession, les activités, les dispositions, etc. de quelqu'un)"
148,荷,,艸,10,3,,,charge
149,華,,艸,10,S,,,fleur
150,菓,,艸,11,S,,,fruits
151,貨,,貝,11,4,,,trésor
152,渦,,水,12,S,1981.0,,eddy
153,過,,辵,12,5,,,plus-
154,嫁,,女,13,S,,,épouse
155,暇,,日,13,S,,,(de ses affaires) lent
156,禍,禍,示,13,S,,,catastrophe
157,靴,,革,13,S,1981.0,,chaussures
158,寡,,宀,14,S,,,femme divorcée non remariée
159,歌,,欠,14,2,,,chant
160,箇,,竹,14,S,,,compteur pour le système de comptage ichi-ni-san (précédant généralement l'élément à compter)
161,稼,,禾,15,S,1981.0,,revenus
162,課,,言,15,4,,,département
163,蚊,,虫,10,S,,,moustique
164,牙,,牙,4,S,2010.0,,défense
165,瓦,,瓦,5,S,2010.0,,tuile de toit
166,我,,戈,7,6,,,l'ego
167,画,畫,田,8,2,,,image
168,芽,,艸,8,4,,,germe
169,賀,,貝,12,5,,,félicitations
170,雅,,隹,13,S,,,l'élégance
171,餓,,食,15,S,,,famine
172,介,,人,4,S,,,aider
173,回,,囗,6,2,,,"compteur pour les jeux, les rondes, etc."
174,灰,,火,6,6,,,cendre
175,会,會,曰,6,2,,,association
176,快,,心,7,5,,,plaisir
177,戒,,戈,7,S,,,commandement
178,改,,攴,7,4,,,révision
179,怪,,心,8,S,,,mystère
180,拐,,手,8,S,1981.0,,kidnapper
181,悔,悔,心,9,S,,,regret
182,海,海,水,9,2,,,mer
183,界,,田,9,3,,,frontière
184,皆,,白,9,S,,,tout le monde
185,械,,木,11,4,,,machine
186,絵,繪,糸,12,2,,,image
187,開,,門,12,3,,,ouverture
188,階,,阜,12,3,,,plancher
189,塊,,土,13,S,,,grumeau
190,楷,,木,13,S,2010.0,,bloc
191,解,,角,13,5,,,solution (d'une équation)
192,潰,,水,15,S,2010.0,,gaspilleur
193,壊,壞,土,16,S,,,rupture
194,懐,懷,心,16,S,,,poitrine
195,諧,,言,16,S,2010.0,,"nom collectif pour les haïku, haibun, haiga, senryū, etc."
196,貝,,貝,7,1,,,"Babylone japonaise (espèce de mollusque à coquille, Babylonia japonica)"
197,外,,夕,5,2,,,à l'extérieur
198,劾,,力,8,S,,,mise en accusation
199,害,,宀,10,4,,,dommages
200,崖,,山,11,S,2010.0,,falaise
201,涯,,水,11,S,1981.0,,horizon
202,街,,行,12,4,,,rue
203,慨,慨,心,13,S,,,déploration
204,蓋,,艸,13,S,2010.0,,casquette (en particulier une casquette traditionnelle portée avec les vêtements sokutai ou ikan)
205,該,,言,13,S,,,dit
206,概,槪,木,14,S,,,général
207,骸,,骨,16,S,2010.0,,paille
208,垣,,土,9,S,1981.0,,clôture
209,柿,,木,9,S,2010.0,,kaki
210,各,,口,6,4,,,chacun
211,角,,角,7,2,,,"coin (p. ex. bureau, trottoir)"
212,拡,擴,手,8,6,,,l'expansion
213,革,,革,9,6,,,cuir
214,格,,木,10,5,,,cas
215,核,,木,10,S,,,nucléaire
216,殻,殼,殳,11,S,1981.0,,coquille
217,郭,,邑,11,S,,,trimestre
218,覚,覺,見,12,4,,,un être mythique capable de lire dans les pensées
219,較,,車,13,S,,,comparaison
220,隔,,阜,13,S,,,deuxième
221,閣,,門,14,6,,,armoire
222,確,,石,15,5,,,certain
223,獲,,犬,16,S,,,proie
224,嚇,,口,17,S,,,menacer
225,穫,,禾,18,S,,,culture
226,学,學,子,8,1,,,l'apprentissage
227,岳,嶽,山,8,S,,,pic
228,楽,樂,木,13,2,,,raku
229,額,,頁,18,5,,,front
230,顎,,頁,18,S,2010.0,,mâchoire
231,掛,,手,11,S,,,"capable de s'asseoir (d'une chaise, etc.)"
232,潟,,水,15,S,1981.0,,lagune
233,括,,手,9,S,,,liasse
234,活,,水,9,2,,,vie
235,喝,喝,口,11,S,1981.0,,exclamation utilisée pour réprimander les pratiquants (dans le zen)
236,渇,渴,水,11,S,,,soif
237,割,,刀,12,6,,,taux
238,葛,,艸,12,S,2010.0,,plante rampante
239,滑,,水,13,S,,,"lisse (peau, etc.)"
240,褐,褐,衣,13,S,1981.0,,marron
241,轄,,車,17,S,,,cale
242,且,,一,5,S,,,en outre
243,株,,木,10,6,,,"souche (de bactéries, etc.)"
244,釜,,金,10,S,2010.0,,pot en fer
245,鎌,,金,18,S,2010.0,,faucille
246,刈,,刀,4,S,,,couper
247,干,,干,3,6,,,séché
248,刊,,刀,5,5,,,publication
249,甘,,甘,5,S,,,doux
250,汗,,水,6,S,,,sueur
251,缶,罐,缶,6,S,1981.0,,peut
252,完,,宀,7,4,,,Finis
253,肝,,肉,7,S,,,foie
254,官,,宀,8,4,,,la bureaucratie
255,冠,,冖,9,S,,,casquette (en particulier une casquette traditionnelle portée avec les vêtements sokutai ou ikan)
256,巻,卷,卩,9,6,,,enroulement
257,看,,目,9,6,,,"regarder à travers (par exemple, une fenêtre, un vestibule, etc.)"
258,陥,陷,阜,10,S,,,piège
259,乾,,乙,11,S,,,séchage
260,勘,,力,11,S,,,intuition
261,患,,心,11,S,,,l'anxiété
262,貫,,貝,11,S,,,kan (unité monétaire obs.)
263,寒,,宀,12,3,,,froid
264,喚,,口,12,S,,,convocation (domicile)
265,堪,,土,12,S,,,la patience
266,換,,手,12,S,,,échange
267,敢,,攴,12,S,,,audacieux
268,棺,,木,12,S,,,cercueil
269,款,,欠,12,S,,,(après le radical -masu d'un verbe) juste (environ ...)
270,間,,門,12,2,,,espace (entre)
271,閑,,門,12,S,,,(de ses affaires) lent
272,勧,勸,力,13,S,,,recommandation
273,寛,寬,宀,13,S,,,doux
274,幹,,干,13,5,,,tige
275,感,,心,13,3,,,sentiment
276,漢,漢,水,13,3,,,Chine (parfois également utilisé en référence à la Corée ou à d'autres pays étrangers)
277,慣,,心,14,5,,,accoutumance
278,管,,竹,14,4,,,tube
279,関,關,門,14,4,,,barrière
280,歓,歡,欠,15,S,,,joie
281,監,,皿,15,S,,,secrétaire
282,緩,,糸,15,S,,,Acore du Japon (Acorus gramineus)
283,憾,,心,16,S,,,regrettable
284,還,,辵,16,S,,,retour
285,館,,食,16,3,,,manoir
286,環,,玉,17,S,,,bracelet (fait de bijoux ou de cloches enfilés et porté au coude)
287,簡,,竹,18,6,,,simplicité
288,観,觀,見,18,4,,,vue
289,韓,,韋,18,S,2010.0,,Chine (parfois également utilisé en référence à la Corée ou à d'autres pays étrangers)
290,艦,,舟,21,S,,,navire de guerre
291,鑑,,金,23,S,,,modèle
292,丸,,丶,3,2,,,"suffixe pour les noms d'épées, d'armures, d'instruments de musique, etc."
293,含,,口,7,S,,,(quelque chose) inclus (dans un paquet)
294,岸,,山,8,3,,,rivage
295,岩,,山,8,2,,,escarpement
296,玩,,玉,8,S,2010.0,,"jouer avec (un jouet, ses cheveux, etc.)"
297,眼,,目,11,5,,,"-ist (utilisé après un nom indiquant la profession, les activités, les dispositions, etc. de quelqu'un)"
298,頑,,頁,13,S,1981.0,,obstiné
299,顔,,頁,18,2,,,visage
300,願,,頁,19,4,,,souhait
301,企,,人,6,S,,,plan
302,伎,,人,6,S,2010.0,,compétence
303,危,,卩,6,6,,,danger
304,机,,木,6,6,,,bureau
305,気,氣,气,6,1,,,-comme
306,岐,,山,7,S,,,"la rue (par exemple ""word on the street"")"
307,希,,巾,7,4,,,rarement
308,忌,,心,7,S,,,saint
309,汽,,水,7,2,,,vapeur
310,奇,,大,8,S,,,non conventionnel
311,祈,祈,示,8,S,,,prière
312,季,,子,8,4,,,saison
313,紀,,糸,9,4,,,période
314,軌,,車,9,S,,,jauge
315,既,既,无,10,S,,,déjà
316,記,,言,10,2,,,enregistrer
317,起,,走,10,3,,,cause
318,飢,,食,10,S,,,la faim
319,鬼,,鬼,10,S,,,ogre
320,帰,歸,止,10,2,,,retour
321,基,,土,11,5,,,"compteur d'objets installés ou montés (par exemple, lanternes en pierre, pierres tombales, satellites)"
322,寄,,宀,11,5,,,rassemblement
323,規,,見,11,5,,,compteur pour le système de comptage ichi-ni-san (précédant généralement l'élément à compter)
324,亀,龜,龜,11,S,2010.0,,tortue
325,喜,,口,12,4,,,joie
326,幾,,幺,12,S,,,combien ?
327,揮,,手,12,6,,,揮
328,期,,月,12,3,,,période
329,棋,,木,12,S,,,go (jeu de société consistant à s'emparer d'un territoire)
330,貴,,貝,12,6,,,titre honorifique pour les divinités (et les personnes de haut rang)
331,棄,,木,13,S,,,mise au rebut
332,毀,,殳,13,S,2010.0,,nick
333,旗,,方,14,4,,,drapeau
334,器,器,口,15,4,,,dispositif
335,畿,,田,15,S,2010.0,,les territoires situés à proximité de la capitale et placés sous l'autorité directe de l'Empire
336,輝,,車,15,S,,,brillance
337,機,,木,16,4,,,machine
338,騎,,馬,18,S,,,comptoir pour les cavaliers
339,技,,手,7,5,,,l'art
340,宜,,宀,8,S,,,en effet
341,偽,僞,人,11,S,,,contrefaçon
342,欺,,欠,12,S,,,tromperie
343,義,,羊,13,5,,,droiture
344,疑,,疋,14,6,,,doute
345,儀,,人,15,S,,,"à l'égard de (utilisé après le nom d'une personne, un pronom personnel, etc.)"
346,戯,戲,戈,15,S,,,folie
347,擬,,手,17,S,,,quasi-
348,犠,犧,牛,17,S,,,sacrifice
349,議,,言,20,4,,,discussion
350,菊,,艸,11,S,,,chrysanthème (Chrysanthemum morifolium)
351,吉,,口,6,S,,,Bonne chance
352,喫,,口,12,S,,,manger
353,詰,,言,13,S,,,fin de partie (en particulier au shogi ou au sens figuré)
354,却,,卩,7,S,,,rejet
355,客,,宀,9,3,,,invité
356,脚,,肉,11,S,,,jambe
357,逆,,辵,9,5,,,inverser
358,虐,,虍,9,S,,,gronder
359,九,,乙,2,1,,,neuf
360,久,,丿,3,5,,,longue période (il y a)
361,及,,又,3,S,,,plus
362,弓,,弓,3,2,,,arc (et flèche)
363,丘,,一,5,S,,,points de bonus accordés au vainqueur à la fin d'une partie (mahjong)
364,旧,舊,臼,5,5,,,ancien
365,休,,人,6,1,,,vacances
366,吸,,口,6,6,,,succion
367,朽,,木,6,S,,,pourri
368,臼,,臼,6,S,2010.0,,mortier
369,求,,水,7,4,,,demande
370,究,,穴,7,3,,,étude
371,泣,,水,8,4,,,pleurs
372,急,,心,9,3,,,soudain
373,級,,糸,9,3,,,classe d'école
374,糾,,糸,9,S,,,les muscles (tendons) et les os (de l'avant-bras)
375,宮,,宀,10,3,,,"l'ancienne punition chinoise (castration pour les hommes, ou enfermement pour les femmes)"
376,救,,攴,11,4,,,aider
377,球,,玉,11,3,,,boule (c'est-à-dire un testicule)
378,給,,糸,12,4,,,salaire
379,嗅,,口,13,S,2010.0,,odeur
380,窮,,穴,15,S,,,dilemme
381,牛,,牛,4,2,,,bovins (Bos taurus)
382,去,,厶,5,3,,,"dernier ... (par exemple ""avril dernier"")"
383,巨,,工,5,S,,,géant
384,居,,尸,8,5,,,assis
385,拒,,手,8,S,,,rejet
386,拠,據,手,8,S,,,un élément sur lequel s'appuyer
387,挙,擧,手,10,4,,,la levée (par exemple d'un drapeau)
388,虚,虛,虍,11,S,,,mensonge
389,許,,言,11,5,,,"(après la forme -ta d'un verbe) juste (terminé, etc.)"
390,距,,足,12,S,,,nectaire tubulaire
391,魚,,魚,11,2,,,poisson
392,御,,彳,12,S,,,août
393,漁,,水,14,4,,,pêche
394,凶,,凵,4,S,,,méchanceté
395,共,,八,6,4,,,avec ...
396,叫,,口,6,S,,,crier
397,狂,,犬,7,S,,,(un type de) passionné(e)
398,京,,亠,8,2,,,"10,000,000,000,000,000,000"
399,享,,亠,8,S,,,plaisir
400,供,,人,8,6,,,accompagnateur
401,協,,十,8,4,,,coopération
402,況,,水,8,S,,,situation
403,峡,峽,山,9,S,,,gorge
404,挟,挾,手,9,S,1981.0,,"côté (par exemple, d'un triangle, d'un rectangle, etc.)"
405,狭,狹,犬,9,S,,,être à l'étroit
406,恐,,心,10,S,,,"Veuillez agréer, Madame, Monsieur, l'expression de mes sentiments les meilleurs (utilisée pour signer les lettres)."
407,恭,,心,10,S,,,révérence
408,胸,,肉,10,6,,,poitrine
409,脅,,肉,10,S,,,menace
410,強,,弓,11,2,,,un peu plus de
411,教,,攴,11,2,,,enseignement
412,郷,鄕,邑,11,6,,,son passé
413,境,,土,14,5,,,l'environnement
414,橋,,木,16,3,,,pont
415,矯,,矢,17,S,1981.0,,guérir
416,鏡,,金,19,4,,,miroir
417,競,,立,20,4,,,concurrence
418,響,響,音,20,S,,,"qualité d'un son (par exemple, une phrase fine, une voix claire, une cloche résonnante)"
419,驚,,馬,22,S,,,surprise
420,仰,,人,6,S,,,rechercher (par exemple auprès de quelqu'un)
421,暁,曉,日,12,S,,,aube
422,業,,木,13,3,,,"le travail (c'est-à-dire la performance, les paroles, les actions, etc.)"
423,凝,,冫,16,S,,,sentiment désagréable
424,曲,,曰,6,3,,,air
425,局,,尸,7,3,,,bureau
426,極,,木,12,4,,,très
427,玉,,玉,5,1,,,"perle (de sueur, de rosée, etc.)"
428,巾,,巾,3,S,2010.0,,largeur
429,斤,,斤,4,S,,,unité de poids ~600g
430,均,,土,7,5,,,égal
431,近,,辵,7,2,,,près de
432,金,,金,8,1,,,argent (écrit devant un montant)
433,菌,,艸,11,S,,,bacille
434,勤,勤,力,12,6,,,service
435,琴,,玉,12,S,,,guzheng
436,筋,,竹,12,6,,,(période Edo) compteur de centaines de mon (unité monétaire obsolète)
437,僅,,人,13,S,2010.0,,(a) peu
438,禁,,示,13,5,,,"interdiction (de fumer, par exemple)"
439,緊,,糸,15,S,,,étroitement
440,錦,,金,16,S,2010.0,,brocart
441,謹,謹,言,17,S,,,"Je vous prie d'agréer, Monsieur le Président, l'expression de mes sentiments distingués."
442,襟,,衣,18,S,1981.0,,collier
443,吟,,口,7,S,,,(type de) poésie
444,銀,,金,14,3,,,argent
445,区,區,匸,4,3,,,district
446,句,,口,5,5,,,vers (de 5 ou 7 mora dans la poésie japonaise)
447,苦,,艸,8,3,,,souffrance
448,駆,驅,馬,14,S,,,(après un nom) en s'appuyant sur ...
449,具,,八,8,3,,,"compteur pour armures, costumes, ensembles de meubles"
450,惧,,心,11,S,2010.0,,appréhension
451,愚,,心,13,S,,,folie
452,空,,穴,8,1,,,ciel
453,偶,,人,11,S,,,par hasard
454,遇,,辵,12,S,,,réception
455,隅,,阜,12,S,1981.0,,coin
456,串,,丨,7,S,2010.0,,cracher
457,屈,,尸,8,S,,,coude
458,掘,,手,11,S,,,creuser
459,窟,,穴,13,S,2010.0,,grottes creusées pour servir de tombes à Kamakura et dans ses environs pendant les périodes Kamakura et Muromachi
460,熊,,火,14,S,2010.0,,ours (animal)
461,繰,,糸,19,S,,,"transfert (par exemple, d'argent)"
462,君,,口,7,3,,,(son) maître
463,訓,,言,10,4,,,leçon
464,勲,勳,力,15,S,,,service distingué
465,薫,薰,艸,16,S,,,odeur agréable
466,軍,,車,9,4,,,armée
467,郡,,邑,10,4,,,comté
468,群,,羊,13,5,,,groupe
469,兄,,儿,5,2,,,utilisé après le nom de quelqu'un qui est un frère aîné
470,刑,,刀,6,S,,,pénalité
471,形,,彡,7,2,,,formulaire
472,系,,糸,7,6,,,système (gamme de strates correspondant à une période donnée)
473,径,徑,彳,8,4,,,"la voie (de la bonne conduite, etc.)"
474,茎,莖,艸,8,S,,,tige
475,係,,人,9,3,,,charge
476,型,,土,9,4,,,"le type (par exemple, de machine, de marchandise, etc.)"
477,契,,大,9,S,,,(au Japon) 5e note de l'ancienne gamme chromatique (environ fa dièse)
478,計,,言,9,2,,,plan
479,恵,惠,心,10,S,,,prajñā (l'une des trois divisions du noble sentier octuple)
480,啓,,口,11,S,,,révélation
481,掲,揭,手,11,S,,,un tableau d'affichage (par exemple dans une école)
482,渓,溪,水,11,S,1981.0,,vallée
483,経,經,糸,11,5,,,longueur
484,蛍,螢,虫,11,S,1981.0,,insecte foudroyant
485,敬,,攴,12,6,,,respect
486,景,,日,12,4,,,vue
487,軽,輕,車,12,3,,,lumière
488,傾,,人,13,S,,,oblique (vision du monde)
489,携,,手,13,S,,,sac à main
490,継,繼,糸,13,S,,,successeur
491,詣,,言,13,S,2010.0,,"visite (d'un site religieux, par exemple un sanctuaire, un temple, une tombe)"
492,慶,,心,15,S,,,félicitations
493,憬,,心,15,S,2010.0,,aspiration
494,稽,,禾,15,S,2010.0,,"incliner la tête (ou les épaules, etc.)"
495,憩,,心,16,S,,,repos
496,警,,言,19,6,,,gardien
497,鶏,鷄,鳥,19,S,,,poulet (viande)
498,芸,藝,艸,7,4,,,l'art
499,迎,,辵,7,S,,,bienvenue
500,鯨,,魚,19,S,,,baleine (Cetacea spp.)
501,隙,,阜,13,S,2010.0,,écart
502,劇,,刀,15,6,,,jouer
503,撃,擊,手,15,S,,,souffler
504,激,,水,16,6,,,"l'intensité (par exemple, le rayonnement, la lumière)"
505,桁,,木,10,S,2010.0,,chiffre
506,欠,缺,缶,4,4,,,manque
507,穴,,穴,5,6,,,trou
508,血,,血,6,3,,,sang
509,決,,水,7,3,,,décision
510,結,,糸,12,4,,,conclusion
511,傑,,人,13,S,,,exceptionnel
512,潔,,水,15,5,,,pureté
513,月,,月,4,1,,,mois
514,犬,,犬,4,1,,,"fouiner (c'est-à-dire un détective, un espion, etc.)"
515,件,,人,6,5,,,susmentionné
516,見,,見,7,1,,,à la recherche
517,券,,刀,8,5,,,billet
518,肩,,肉,8,S,,,épaule
519,建,,廴,9,4,,,engagement
520,研,硏,石,9,3,,,recherche
521,県,縣,糸,9,3,,,préfecture (du Japon)
522,倹,儉,人,10,S,,,esprit d'économie
523,兼,,八,10,S,,,et
524,剣,劍,刀,10,S,,,épée (à l'origine esp. une épée à double tranchant)
525,拳,,手,10,S,2010.0,,poing
526,軒,,車,10,S,,,compteur pour les bâtiments (en particulier les maisons)
527,健,,人,11,4,,,la santé
528,険,險,阜,11,5,,,pente
529,圏,圈,囗,12,S,,,cercle
530,堅,,土,12,S,,,fermeté
531,検,檢,木,12,5,,,contrôle
532,嫌,,女,13,S,1981.0,,désagréable
533,献,獻,犬,13,S,,,offre
534,絹,,糸,13,6,,,soie
535,遣,,辵,13,S,,,envoi
536,権,權,木,15,6,,,l'autorité
537,憲,,心,16,6,,,constitution
538,賢,,貝,16,S,,,le renseignement
539,謙,,言,17,S,,,humilité
540,鍵,,金,17,S,2010.0,,clé
541,繭,,糸,18,S,,,cocon
542,顕,顯,頁,18,S,,,ouvert
543,験,驗,馬,18,4,,,test
544,懸,,心,20,S,,,"capable de s'asseoir (d'une chaise, etc.)"
545,元,,儿,4,2,,,lieu (de quelqu'un)
546,幻,,幺,4,S,,,illusion
547,玄,,玄,5,S,,,Gén.
548,言,,言,7,2,,,remarque
549,弦,,弓,8,S,,,"corde (de shamisen, de guitare, de violon, etc.)"
550,限,,阜,9,5,,,"comptoir pour les découpes (par exemple, poisson, viande)"
551,原,,厂,10,2,,,original
552,現,,玉,11,5,,,"présent (par exemple, gouvernement, administration)"
553,舷,,舟,11,S,2010.0,,gunwale
554,減,,水,12,5,,,réduction
555,源,,水,13,6,,,source
556,厳,嚴,口,17,6,,,stricte
557,己,,己,3,6,,,soi-même
558,戸,,戶,4,2,,,porte (notamment de style japonais)
559,古,,口,5,2,,,ancien
560,呼,,口,8,6,,,appel
561,固,,囗,8,4,,,ferme (pas visqueux ou facilement déplaçable)
562,股,,肉,8,S,2010.0,,"fourche (dans un arbre, une route, une rivière, etc.)"
563,虎,,虍,8,S,2010.0,,tigre (Panthera tigris)
564,孤,,子,9,S,,,orphelin
565,弧,,弓,9,S,,,arc
566,故,,攴,9,5,,,raison
567,枯,,木,9,S,,,flétri
568,個,,人,10,5,,,compteur pour le système de comptage ichi-ni-san (précédant généralement l'élément à compter)
569,庫,,广,10,3,,,entrepôt
570,湖,,水,12,3,,,lac
571,雇,,隹,12,S,,,l'emploi
572,誇,,言,13,S,,,se vanter
573,鼓,,鼓,13,S,,,tambour à main
574,錮,,金,16,S,2010.0,,emprisonnement
575,顧,,頁,21,S,,,reconsidération
576,五,,二,4,1,,,cinq
577,互,,二,4,S,,,mutuelle
578,午,,十,4,2,,,"septième signe du zodiaque chinois (Le Cheval, 11h-13h, sud, mai)"
579,呉,,口,7,S,,,Wu (dynastie de Chine ; 918-1392 CE)
580,後,,彳,9,2,,,après
581,娯,,女,10,S,,,plaisir
582,悟,,心,10,S,,,compréhension
583,碁,,石,13,S,,,go (jeu de société consistant à s'emparer d'un territoire)
584,語,,言,14,2,,,langue
585,誤,,言,14,6,,,erreur
586,護,,言,20,5,,,défense
587,口,,口,3,1,,,embouchure (d'une bouteille)
588,工,,工,3,2,,,mécanicien
589,公,,八,4,2,,,public
590,勾,,勹,4,S,2010.0,,"boulet (cheval, etc.)"
591,孔,,子,4,S,,,fosse (d'un théâtre)
592,功,,力,5,4,,,acte méritoire
593,巧,,工,5,S,,,compétence
