id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
381,牛,,牛,4,2,,,cattle (Bos taurus)
382,去,,厶,5,3,,,"last ... (e.g. ""last April"")"
383,巨,,工,5,S,,,big
384,居,,尸,8,5,,,sitting
385,拒,,手,8,S,,,protecting
386,拠,據,手,8,S,,,something upon which to rely
387,挙,擧,手,10,4,,,the raising of (e.g. flag)
388,虚,虛,虍,11,S,,,sky
389,許,,言,11,5,,,"(after the -ta form of a verb) just (finished, etc.)"
390,距,,足,12,S,,,tubular nectary
391,魚,,魚,11,2,,,fish
392,御,,彳,12,S,,,august
393,漁,,水,14,4,,,fishing
394,凶,,凵,4,S,,,wickedness
395,共,,八,6,4,,,both
396,叫,,口,6,S,,,shout
397,狂,,犬,7,S,,,somebody possessed of a (certain kind of) mental abnormality
398,京,,亠,8,2,,,"10,000,000,000,000,000,000"
399,享,,亠,8,S,,,enjoyment
400,供,,人,8,6,,,attendant
401,協,,十,8,4,,,cooperation
402,況,,水,8,S,,,situation
403,峡,峽,山,9,S,,,ravine
404,挟,挾,手,9,S,1981.0,,"side (e.g. of triangle, rectangle, etc.)"
405,狭,狹,犬,9,S,,,being cramped
406,恐,,心,10,S,,,yours sincerely (used to sign off on letters)
407,恭,,心,10,S,,,respect
408,胸,,肉,10,6,,,chest
409,脅,,肉,10,S,,,threat
410,強,,弓,11,2,,,a little over
411,教,,攴,11,2,,,teaching
412,郷,鄕,邑,11,6,,,one's past
413,境,,土,14,5,,,environment
414,橋,,木,16,3,,,bridge
415,矯,,矢,17,S,1981.0,,cure
416,鏡,,金,19,4,,,mirror
417,競,,立,20,4,,,competition
418,響,響,音,20,S,,,"quality of a sound (e.g. a fine phrase, clear voice, resonant bell)"
419,驚,,馬,22,S,,,surprise
420,仰,,人,6,S,,,look up (e.g. to an emperor)
421,暁,曉,日,12,S,,,dawn
422,業,,木,13,3,,,"work (i.e. performance, words, actions, etc.)"
423,凝,,冫,16,S,,,unpleasant feeling
424,曲,,曰,6,3,,,a shade
425,局,,尸,7,3,,,"office (e.g. post, telephone)"
426,極,,木,12,4,,,very
427,玉,,玉,5,1,,,"bead (of sweat, dew, etc.)"
428,巾,,巾,3,S,2010.0,,range (e.g. of voice)
429,斤,,斤,4,S,,,unit of weight ~600g
430,均,,土,7,5,,,equal
431,近,,辵,7,2,,,near
432,金,,金,8,1,,,money (written before an amount)
433,菌,,艸,11,S,,,bacillus
434,勤,勤,力,12,6,,,Buddhist religious service
435,琴,,玉,12,S,,,guzheng
436,筋,,竹,12,6,,,(Edo period) counter for hundreds of mon (obsolete unit of currency)
437,僅,,人,13,S,2010.0,,merely
438,禁,,示,13,5,,,ban (e.g. on smoking)
439,緊,,糸,15,S,,,tightly
440,錦,,金,16,S,2010.0,,brocade
441,謹,謹,言,17,S,,,respectfully yours
442,襟,,衣,18,S,1981.0,,collar
443,吟,,口,7,S,,,(in Japan) 2nd note of the ancient chromatic scale (approx. D sharp)
444,銀,,金,14,3,,,silver
445,区,區,匸,4,3,,,district
446,句,,口,5,5,,,verse (of 5 or 7 mora in Japanese poetry)
447,苦,,艸,8,3,,,anguish
448,駆,驅,馬,14,S,,,"counter for runs (buses, trains, etc.)"
449,具,,八,8,3,,,"counter for armor (armour), suits, sets of furniture"
450,惧,,心,11,S,2010.0,,apprehension
451,愚,,心,13,S,,,folly
452,空,,穴,8,1,,,hollow
453,偶,,人,11,S,,,rare
454,遇,,辵,12,S,,,reception
455,隅,,阜,12,S,1981.0,,corner
456,串,,丨,7,S,2010.0,,skewer
457,屈,,尸,8,S,,,bend
458,掘,,手,11,S,,,digging
459,窟,,穴,13,S,2010.0,,caves dug as tombs in and around Kamakura during the Kamakura and Muromachi periods
460,熊,,火,14,S,2010.0,,bear (animal)
461,繰,,糸,19,S,,,transfer (e.g. money)
462,君,,口,7,3,,,you
463,訓,,言,10,4,,,lesson
464,勲,勳,力,15,S,,,distinguished service
465,薫,薰,艸,16,S,,,pleasant smell
466,軍,,車,9,4,,,force
467,郡,,邑,10,4,,,county
468,群,,羊,13,5,,,group
469,兄,,儿,5,2,,,used after the name of someone who is an older brother figure
470,刑,,刀,6,S,,,penalty
471,形,,彡,7,2,,,form
472,系,,糸,7,6,,,system (range of strata that correspond to a particular time period)
473,径,徑,彳,8,4,,,"the way (of proper conduct, etc.)"
474,茎,莖,艸,8,S,,,stem
475,係,,人,9,3,,,charge
476,型,,土,9,4,,,"type (e.g. of machine, goods, etc.)"
477,契,,大,9,S,,,vow
478,計,,言,9,2,,,plan
479,恵,惠,心,10,S,,,prajñā (one of the three divisions of the noble eightfold path)
480,啓,,口,11,S,,,revelation
481,掲,揭,手,11,S,,,the (imperial) court
482,渓,溪,水,11,S,1981.0,,valley
483,経,經,糸,11,5,,,the vertical (i.e. in vertical Japanese writing)
484,蛍,螢,虫,11,S,1981.0,,lightning bug
485,敬,,攴,12,6,,,respect
486,景,,日,12,4,,,view
487,軽,輕,車,12,3,,,light
488,傾,,人,13,S,,,slanted (view of the world)
489,携,,手,13,S,,,handbag
490,継,繼,糸,13,S,,,successor
491,詣,,言,13,S,2010.0,,"visit (to a religious site, e.g. shrine, temple, grave)"
492,慶,,心,15,S,,,Kei era (1648.2.15-1652.9.18)
493,憬,,心,15,S,2010.0,,aspiration
494,稽,,禾,15,S,2010.0,,"bowing one's head (or shoulders, etc.)"
495,憩,,心,16,S,,,rest
496,警,,言,19,6,,,guard
497,鶏,鷄,鳥,19,S,,,chicken (meat)
498,芸,藝,艸,7,4,,,art
499,迎,,辵,7,S,,,welcome
500,鯨,,魚,19,S,,,whale (Cetacea spp.)
501,隙,,阜,13,S,2010.0,,breach (of a relationship between people)
502,劇,,刀,15,6,,,play
503,撃,擊,手,15,S,,,blow
504,激,,水,16,6,,,"intensity (e.g. radiation, light)"
505,桁,,木,10,S,2010.0,,digit
506,欠,缺,缶,4,4,,,lack
507,穴,,穴,5,6,,,hole
508,血,,血,6,3,,,blood
509,決,,水,7,3,,,decision
510,結,,糸,12,4,,,conclusion
511,傑,,人,13,S,,,outstanding
512,潔,,水,15,5,,,purity
513,月,,月,4,1,,,month
514,犬,,犬,4,1,,,"snoop (i.e. a detective, a spy, etc.)"
515,件,,人,6,5,,,the aforesaid
516,見,,見,7,1,,,"view (of life, etc.)"
517,券,,刀,8,5,,,ticket
518,肩,,肉,8,S,,,shoulder
519,建,,廴,9,4,,,commitment
520,研,硏,石,9,3,,,study
521,県,縣,糸,9,3,,,"territory (pre-Taika: under the Yamato court; Heian: under a provincial governor, etc.)"
522,倹,儉,人,10,S,,,economizing
523,兼,,八,10,S,,,and
524,剣,劍,刀,10,S,,,sword (originally esp. a doubled-edged sword)
525,拳,,手,10,S,2010.0,,fist
526,軒,,車,10,S,,,eaves
527,健,,人,11,4,,,strength
528,険,險,阜,11,5,,,steepness
529,圏,圈,囗,12,S,,,circle
530,堅,,土,12,S,,,firmness
531,検,檢,木,12,5,,,inspection
532,嫌,,女,13,S,1981.0,,unpleasant
533,献,獻,犬,13,S,,,offering
534,絹,,糸,13,6,,,silk
535,遣,,辵,13,S,,,sending
536,権,權,木,15,6,,,authority
537,憲,,心,16,6,,,constitution
538,賢,,貝,16,S,,,intelligence
539,謙,,言,17,S,,,humility
540,鍵,,金,17,S,2010.0,,key
541,繭,,糸,18,S,,,cocoon
542,顕,顯,頁,18,S,,,open
543,験,驗,馬,18,4,,,test
544,懸,,心,20,S,,,"able-to-seat (of a chair, etc.)"
545,元,,儿,4,2,,,(somebody's) location
546,幻,,幺,4,S,,,illusion
547,玄,,玄,5,S,,,Genji (member of a pre-WWII body that informally advised the emperor)
548,言,,言,7,2,,,remark
549,弦,,弓,8,S,,,"string (of shamisen, guitar, violin, etc.)"
550,限,,阜,9,5,,,"counter for cuts (e.g. fish, meat)"
551,原,,厂,10,2,,,original
552,現,,玉,11,5,,,"present (e.g. government, administration)"
553,舷,,舟,11,S,2010.0,,gunwale
554,減,,水,12,5,,,reduction
555,源,,水,13,6,,,source
556,厳,嚴,口,17,6,,,strict
557,己,,己,3,6,,,oneself
558,戸,,戶,4,2,,,counter for houses
559,古,,口,5,2,,,old
560,呼,,口,8,6,,,call
561,固,,囗,8,4,,,firm (not viscous or easily moved)
562,股,,肉,8,S,2010.0,,"fork (in a tree, road, river, etc.)"
563,虎,,虍,8,S,2010.0,,tiger (Panthera tigris)
564,孤,,子,9,S,,,orphan
565,弧,,弓,9,S,,,arc
566,故,,攴,9,5,,,reason
567,枯,,木,9,S,,,withered
568,個,,人,10,5,,,counter for the ichi-ni-san counting system (usu. directly preceding the item being counted)
569,庫,,广,10,3,,,warehouse
570,湖,,水,12,3,,,lake
571,雇,,隹,12,S,,,employment
572,誇,,言,13,S,,,boast
573,鼓,,鼓,13,S,,,hand drum
574,錮,,金,16,S,2010.0,,imprisonment
575,顧,,頁,21,S,,,reconsidering
576,五,,二,4,1,,,five
577,互,,二,4,S,,,reciprocal
578,午,,十,4,2,,,"seventh sign of Chinese zodiac (The Horse, 11am-1pm, south, May)"
579,呉,,口,7,S,,,Wu (dynasty of China; 918-1392 CE)
580,後,,彳,9,2,,,after
581,娯,,女,10,S,,,enjoyment
582,悟,,心,10,S,,,comprehension
583,碁,,石,13,S,,,go (board game of capturing territory)
584,語,,言,14,2,,,language
585,誤,,言,14,6,,,error
586,護,,言,20,5,,,protection
587,口,,口,3,1,,,opening (i.e. vacancy)
588,工,,工,3,2,,,craft
589,公,,八,4,2,,,public
590,勾,,勹,4,S,2010.0,,"fetlock (horse, etc.)"
591,孔,,子,4,S,,,hole
592,功,,力,5,4,,,meritorious deed
593,巧,,工,5,S,,,skill
594,広,廣,广,5,2,,,wide
595,甲,,田,5,S,,,the A party (e.g. in a contract)
596,交,,亠,6,2,,,interleague
597,光,,儿,6,2,,,light
598,向,,口,6,3,,,facing
599,后,,口,6,6,,,empress
600,好,,女,6,4,,,good
601,江,,水,6,S,,,bay
602,考,,老,6,2,,,thought
603,行,,行,6,2,,,row
604,坑,,土,7,S,,,pit (esp. of a mine)
605,孝,,子,7,6,,,filial piety
606,抗,,手,7,S,,,anti-
607,攻,,攴,7,S,,,offence
608,更,,曰,7,S,,,one-fifth of the night (approx. 2 hours)
609,効,效,力,8,5,,,efficiency
610,幸,,干,8,3,,,happiness
611,拘,,手,8,S,,,fetters
612,肯,,肉,8,S,,,consent
613,侯,,人,9,S,,,marquis
614,厚,,厂,9,5,,,thickness
615,恒,恆,心,9,S,,,constancy
616,洪,,水,9,S,1981.0,,flood
617,皇,,白,9,6,,,the (Japanese) empire
618,紅,,糸,9,6,,,red
619,荒,,艸,9,S,,,rough
620,郊,,邑,9,S,,,suburb
621,香,,香,9,S,,,smell (esp. a good smell)
622,候,,人,10,4,,,weather
623,校,,木,10,1,,,"proof (of a book, document, etc.)"
624,耕,,耒,10,5,,,cultivation
625,航,,舟,10,4,,,sailing
626,貢,,貝,10,S,,,tribute
627,降,,阜,10,6,,,descending
628,高,,高,10,2,,,amount of money
629,康,,广,11,4,,,Kou
630,控,,手,11,S,,,not to write to or visit someone (e.g. someone's home)
631,梗,,木,11,S,2010.0,,stalk
632,黄,黃,黃,11,2,,,yellow
633,喉,,口,12,S,2010.0,,throat
634,慌,,心,12,S,,,flustered
635,港,,水,12,3,,,port
636,硬,,石,12,S,,,hardness
637,絞,,糸,12,S,,,wringer (clothes)
638,項,,頁,12,S,,,paragraph
639,溝,,水,13,S,1981.0,,groove
640,鉱,鑛,金,13,5,,,ore
